age	favourites	favourites_by_age	listed	listed_by_age	statuses	statuses_by_age	followers	followers_by_age	friends	friends_by_age	name_len	screen_name_len	description_len	screen_name_sim	name_upper_len	name_upper_pcnt	name_lower_len	name_lower_pcnt	name_digit_len	name_digit_pcnt	name_special_len	name_special_pcnt	screen_name_upper_len	screen_name_upper_pcnt	screen_name_lower_len	screen_name_lower_pcnt	screen_name_digit_len	screen_name_digit_pcnt	screen_name_special_len	screen_name_special_pcnt	description_upper_len	description_upper_pcnt	description_lower_len	description_lower_pcnt	description_digit_len	description_digit_pcnt	description_special_len	description_special_pcnt	geo	protected	location	background_img	default_prof	url	verified	user_id	target	twitter_target	botometer_target
2287.0	4801	2.09925666812418	115	0.050284215128989944	1540	0.6733712286838653	2632	1.1508526453869699	664	0.29033668561434195	15	9	145	0.6666666666666666	2	0.13333333333333333	12	0.8	0	0.0	1	0.06666666666666667	0	0.0	9	1.0	0	0.0	0	0.0	14	0.09655172413793103	111	0.7655172413793103	0	0.0	20	0.13793103448275862	1	0	1	0	0	1	1	806975237766135813	0	0	0
5127.0	4652	0.907353228008582	249	0.04856641310708017	10196	1.9886873415252584	11086	2.16227813536181	996	0.19426565242832067	12	11	117	0.9	2	0.16666666666666666	9	0.75	0	0.0	1	0.08333333333333333	2	0.18181818181818182	9	0.8181818181818182	0	0.0	0	0.0	10	0.08547008547008547	80	0.6837606837606838	0	0.0	27	0.23076923076923078	1	0	1	1	0	1	1	22364234	0	0	0
3399.0	20093	5.911444542512504	94	0.027655192703736394	923	0.2715504560164754	2797	0.8228890850250073	2381	0.7005001471020889	12	6	158	0.5	2	0.16666666666666666	9	0.75	0	0.0	1	0.08333333333333333	2	0.3333333333333333	4	0.6666666666666666	0	0.0	0	0.0	22	0.13924050632911392	102	0.6455696202531646	0	0.0	34	0.21518987341772153	1	0	1	1	1	1	1	2192588903	0	0	0
4460.0	871	0.1952914798206278	203	0.04551569506726457	2306	0.5170403587443946	3973	0.8908071748878924	714	0.1600896860986547	16	15	134	0.9166666666666666	2	0.125	13	0.8125	0	0.0	1	0.0625	2	0.13333333333333333	13	0.8666666666666667	0	0.0	0	0.0	18	0.13432835820895522	95	0.7089552238805971	0	0.0	21	0.15671641791044777	1	0	1	1	1	1	1	231440493	0	0	0
2232.0	16137	7.229838709677419	96	0.043010752688172046	2879	1.2898745519713262	5401	2.4198028673835124	1242	0.5564516129032258	12	12	100	0.75	2	0.16666666666666666	9	0.75	0	0.0	1	0.08333333333333333	2	0.16666666666666666	10	0.8333333333333334	0	0.0	0	0.0	6	0.06	82	0.82	0	0.0	12	0.12	1	0	1	0	0	1	1	827090742162100224	0	0	0
2252.0	98	0.043516873889875664	110	0.04884547069271759	405	0.17984014209591473	2095	0.9302841918294849	854	0.37921847246891655	22	14	70	0.625	4	0.18181818181818182	15	0.6818181818181818	0	0.0	3	0.13636363636363635	2	0.14285714285714285	12	0.8571428571428571	0	0.0	0	0.0	7	0.1	54	0.7714285714285715	0	0.0	9	0.12857142857142856	1	0	1	1	1	1	1	819914159915667456	0	0	0
2278.0	1706	0.7489025460930641	108	0.04741000877963126	3507	1.5395083406496928	6837	3.001316944688323	609	0.26733977172958734	16	11	142	0.8333333333333334	3	0.1875	10	0.625	0	0.0	3	0.1875	2	0.18181818181818182	9	0.8181818181818182	0	0.0	0	0.0	16	0.11267605633802817	101	0.7112676056338029	1	0.007042253521126761	24	0.16901408450704225	1	0	1	1	1	1	0	810537151729373184	0	0	0
2224.0	172	0.07733812949640288	58	0.026079136690647483	158	0.0710431654676259	1339	0.602068345323741	181	0.08138489208633093	19	11	139	0.6428571428571429	2	0.10526315789473684	16	0.8421052631578947	0	0.0	1	0.05263157894736842	0	0.0	10	0.9090909090909091	0	0.0	1	0.09090909090909091	12	0.08633093525179857	87	0.6258992805755396	10	0.07194244604316546	30	0.2158273381294964	1	0	1	0	0	1	1	830085678063030273	0	0	0
4966.0	1110	0.22351993556182037	142	0.028594442207007652	7971	1.6051147805074506	1750	0.3523962948046718	848	0.1707611759967781	15	9	135	0.4	2	0.13333333333333333	12	0.8	0	0.0	1	0.06666666666666667	4	0.4444444444444444	5	0.5555555555555556	0	0.0	0	0.0	13	0.0962962962962963	99	0.7333333333333333	0	0.0	23	0.17037037037037037	1	0	1	1	0	1	1	64159881	0	0	0
2378.0	26	0.010933557611438183	39	0.016400336417157275	67	0.028174936921783012	897	0.37720773759461734	75	0.03153910849453322	15	12	145	0.6363636363636364	3	0.2	9	0.6	0	0.0	3	0.2	2	0.16666666666666666	9	0.75	0	0.0	1	0.08333333333333333	30	0.20689655172413793	77	0.5310344827586206	1	0.006896551724137931	37	0.25517241379310346	0	0	1	1	1	1	0	774308243124391937	0	0	1
3377.0	729	0.21587207580692921	147	0.04352976014213799	5284	1.5647023985786201	4869	1.4418122594018359	1110	0.3286941071957359	15	11	143	0.5714285714285714	2	0.13333333333333333	12	0.8	0	0.0	1	0.06666666666666667	3	0.2727272727272727	7	0.6363636363636364	0	0.0	1	0.09090909090909091	11	0.07692307692307693	114	0.7972027972027972	0	0.0	18	0.1258741258741259	1	0	1	0	0	1	1	2226815116	0	0	0
3759.0	1037	0.2758712423516893	117	0.03112529928172386	676	0.17983506251662676	1642	0.4368183027400904	878	0.23357275871242353	17	11	21	0.6153846153846154	2	0.11764705882352941	14	0.8235294117647058	0	0.0	1	0.058823529411764705	2	0.18181818181818182	8	0.7272727272727273	0	0.0	1	0.09090909090909091	1	0.047619047619047616	20	0.9523809523809523	0	0.0	0	0.0	0	0	1	0	0	1	1	976421048	0	0	0
3068.0	214	0.0697522816166884	111	0.03617992177314211	2297	0.7486962190352021	13442	4.38135593220339	219	0.07138200782268579	16	10	158	0.5833333333333334	4	0.25	9	0.5625	0	0.0	3	0.1875	2	0.2	8	0.8	0	0.0	0	0.0	7	0.04430379746835443	108	0.6835443037974683	16	0.10126582278481013	27	0.17088607594936708	0	0	1	0	0	1	0	2837971145	0	0	0
5096.0	7145	1.4020800627943486	1180	0.2315541601255887	12090	2.372448979591837	129845	25.479788069073784	510	0.1000784929356358	13	12	71	0.8888888888888888	2	0.15384615384615385	10	0.7692307692307693	0	0.0	1	0.07692307692307693	0	0.0	12	1.0	0	0.0	0	0.0	12	0.16901408450704225	44	0.6197183098591549	1	0.014084507042253521	14	0.19718309859154928	1	0	1	0	0	1	1	28066013	0	0	0
